scenario,Total_Time,Time_Script,Time_Image,Time_Voice,Time_Video,Problem Size,Predicted Problem Size,setting,Script
11,65.01,4.84,22.2,8.34,2.35,disaster,bummer,field trip,"Alex and his friends excitedly board the bus for their school field trip to the science museum.On the way, the bus suddenly skids into the ditch due to heavy rainfall and everyone feels a jolt.Though no one is injured, the bus is stuck and won't move, leaving everyone stranded.With no other transportation readily available, Alex realizes they might have to stay in this rural area until help arrives.He wonders, ""How big is this problem?"""
12,66.83,4.29,21.94,8.85,2.23,disaster,bummer,tennis,"Alex was excited to participate in the tennis finals, but just as they were warming up, a sudden storm hit the area.The intense wind and rain caused significant damage to the courts and surrounding area.Alex heard that their coach's house was severely damaged and they might have to relocate.The uncertainty of where their coach would live or train them next weighed heavily on Alex.Standing by the window, Alex whispered to themselves, ""How big is this problem?"""
13,70.09,4.88,28.0,8.74,1.73,disaster,bummer,basketball,"There was a basketball game at school, and Alex was excited to play.Suddenly, the fire alarm went off, and everyone had to evacuate the building.Firefighters arrived and had to control a small fire that started in the gym.The gym was severely damaged, and games were cancelled indefinitely.Alex wondered, 'How big is this problem?'"
14,70.6,7.52,21.15,8.49,1.79,disaster,disaster,singing,"Emily was excited to perform her solo at the school talent show.Suddenly, a massive storm hit, causing a power outage in the entire town.The school was heavily damaged, making it unsafe for the performance to continue.There was no backup plan, and the talent show was postponed indefinitely.Emily thought to herself, ""How big is this problem?"""
15,71.62,6.31,19.36,8.16,2.18,disaster,disaster,vacation,"During a family vacation by the beach, Olivia felt a sudden jolt as the car hydroplaned on the wet road.The car spun out of control, skidding towards the edge of the road, a sheer cliff on the side.Everyone in the car held their breath in fright as their safety was at risk with no quick fix available.The financial burden of repairing the car would be significant, furthering their apprehension.Olivia thought to herself, ""How big is this problem?"""
16,73.32,6.07,23.06,8.61,2.21,disaster,bummer,game,"Jake was excitedly waiting for his game console to arrive after saving up for a year.When it finally arrived, the package was damaged and the console was completely broken.Without a warranty, fixing or replacing it was beyond his family’s budget.Jake now faced the reality of losing a year’s worth of savings and not having the game he dreamed of.He asked himself, 'How big is this problem?'"
17,69.15,10.05,20.18,8.79,2.4,disaster,disaster,singing,"Jessica, a 14-year-old girl, was excited about her big solo performance at the school talent show.The night before the show, she got a call that her grandmother, who was her biggest supporter, had suddenly passed away.Jessica felt overwhelmed with grief, knowing she couldn't share this important moment with her grandmother.Without her grandmother's presence, performing felt incredibly difficult, and the emotional impact seemed insurmountable.As Jessica thought about the next steps, she wondered, ""How big is this problem?"""
18,63.97,6.14,19.37,8.11,2.02,disaster,disaster,playing video game,"Jake, a 16-year-old, was thrilled to finally buy the latest gaming console after saving up for a year.As he started playing, sparks flew from the outlet, causing a fire in the living room.The fire quickly spread, threatening the safety of everyone at home.Without insurance, repairing the damage would be a major financial burden on his family.Jake thought to himself, ""How big is this problem?"""
19,62.25,6.11,22.5,7.79,2.07,disaster,disaster,tennis,"Emily was thrilled to play in her first tennis tournament.However, just before her match, she received a call from her dad saying their house had caught fire.Without a place to stay, Emily and her family were unsure of what to do next.Luckily, everyone was safe, but the damage to their home was severe, with no quick fix.Emily sat on the court bench, racquet in hand, wondering, ""How big is this problem?"""
20,64.8,7.31,23.24,7.83,2.38,disaster,disaster,art,"In the bustling art room, 15-year-old Mia was eagerly preparing for the school's annual art exhibition.Suddenly, a fire alarm went off, and smoke began to fill the room from a rapidly spreading fire.Mia's prized painting, along with other precious artworks, was at serious risk and she knew how devastating a loss it would be for both her and her friends.The art teacher quickly helped everyone evacuate, but the blaze continued to grow.As Mia watched from outside, she asked herself, ""How big is this problem?"""
21,67.79,6.49,25.32,7.67,2.01,disaster,disaster,class,"Emily was sitting in her classroom when the principal announced an approaching tornado.The school quickly initiated an emergency evacuation plan to move everyone to safety.Despite the organized response, Emily felt the weight of fear and uncertainty.The impact of the tornado could lead to extensive damage and disruption at home and school.Emily wondered to herself, ""How big is this problem?"""
22,65.71,6.39,19.04,7.66,2.02,disaster,glitch,swimming,"Emily was excited about her swimming lesson at the local pool when a sudden storm hit.Lightning struck a nearby tree, causing a loud crash and panic among the swimmers.The lifeguards quickly evacuated everyone from the pool, but the incident left everyone scared and shaken.Emily remembered how important it was to listen to safety instructions during emergencies.She wondered, ""How big is this problem?"""
23,64.26,4.87,21.56,7.58,1.97,disaster,disaster,class,"Emma was sitting in class when the principal announced there was a fire at her house.The fire had caused significant damage, and her family lost most of their belongings.Her parents are safe, but they'll need to find a temporary place to stay for a long time.Emma feels overwhelmed thinking about the uncertainty and the long recovery ahead.She asks herself, ""How big is this problem?"""
24,68.1,5.95,28.77,8.5,2.83,disaster,disaster,soccer,"Alex, a 14-year-old boy, was excitedly playing soccer when a sudden heavy storm hit the field.The storm quickly turned into a dangerous thunderstorm with lightning striking nearby, posing a serious risk to everyone’s safety.With no safe shelter nearby, the team had to evacuate the area, meaning the match abruptly ended without any clear resolution.The storm caused damage to the field, leading to significant financial losses for the local club that would take a long time to recover.As Alex sat with his teammates, soaked and scared, he asked himself, ""How big is this problem?"""
25,63.17,4.78,19.27,9.05,2.49,disaster,disaster,singing,"On the day of the concert, Mia was ready to sing her solo when the power suddenly went out in the entire theater due to a severe storm.The storm had knocked down power lines, causing a citywide blackout and the event had to be stopped indefinitely.There was no quick fix, and the concert had to be postponed, impacting Mia and her family's finances as they had invested a lot in her preparation.Mia knew it would take a long time to reschedule and recover from the situation.As she stood on the dark stage, Mia asked herself, ""How big is this problem?"""
26,60.53,6.31,20.37,8.43,2.57,disaster,disaster,lacrosse,"Sarah was playing in a lacrosse match when a severe storm hit the field, causing a flood that trapped players.Her team had no immediate way to escape as the water quickly surrounded them, posing a risk to safety.Emergency services were called, but it was unclear how long it would take for them to arrive due to the weather conditions.The team's coach tried to keep everyone calm, but the reality of the dangerous situation was evident.Sarah thought to herself, ""How big is this problem?"" while gripping her lacrosse stick tightly."
27,65.5,5.78,21.88,7.81,2.1,disaster,disaster,field trip,"Anna and her classmates were excitedly preparing for their field trip to the zoo.On the way, the bus encountered a sudden and severe storm, making the roads unsafe to travel.The bus had to stop on a flooded road, and the storm showed no signs of letting up.The teacher called for emergency help, but it was clear they would need to wait a long time for rescue due to the dangerous conditions.Anna thought to herself, ""How big is this problem?"""
28,66.44,6.13,21.06,8.37,1.94,disaster,disaster,tennis,"Emma was thrilled to play in the tennis finals at her local club.As the match began, Emma's vision suddenly blurred, and she collapsed on the court.The coach called for an ambulance, fearing it could be a serious health issue.Emma's parents rushed to the hospital, worried about her safety and health.Emma lay in the hospital bed, thinking to herself, ""How big is this problem?"""
29,68.01,5.53,18.31,8.28,2.46,disaster,disaster,vacation,"Maria, a 13-year-old girl, was on a family vacation at the beach when a sudden storm caused their rented beach house to flood.The storm damaged the ground floor, putting their safety at risk and forcing them to leave immediately.With no immediate backup plan, they had to find temporary shelter, causing significant stress and uncertainty for the family.The vacation was abruptly halted, bringing financial strain and emotional distress to the family.Maria thought to herself, ""How big is this problem?"""
30,63.15,6.23,20.39,8.65,2.28,disaster,bummer,game,"Ella, a 12-year-old girl, was playing her favorite online game when a storm caused a power outage.The power cut knocked out the internet and her progress in the game was lost, meaning she couldn’t complete her mission.This setback could significantly affect her standing in the game community, where she was vying for a top spot.Without immediate power restoration, her hours of gameplay and strategic planning might all go to waste, causing distress.Ella wondered, 'How big is this problem?'"
31,66.82,6.95,21.24,8.17,2.16,disaster,disaster,field trip,"Lily and her classmates excitedly board the bus for their field trip.As they approach the destination, the bus suddenly stops due to a severe engine failure.It's a remote area with no immediate help, and the weather starts turning bad.The teachers try calling for assistance, but the cell signal is weak, making it difficult to get help quickly.As the storm approaches and the situation grows tense, Lily wonders, ""How big is this problem?"""
32,66.79,6.66,20.7,8.3,2.67,disaster,disaster,playing video game,"Liam sat down with his older brother Jason to play their favorite online game when suddenly, Liam received a frantic call from his mom saying their family home had caught fire.The fire had spread quickly, resulting in major damage, and their parents were desperately trying to handle the situation.They soon found out that they might have lost many of their belongings, including their gaming consoles and cherished childhood items.Liam realized that they would have to live with relatives for a while, as it would take months to repair the damage.Feeling overwhelmed, Liam stared at his phone and asked himself, ""How big is this problem?"""
33,65.34,4.45,21.05,8.15,2.1,disaster,disaster,soccer,"Tom, an 18-year-old soccer player, was on his way to an important college tournament with his team.Suddenly, their bus skidded off the road due to a landslide caused by torrential rain.Everyone was scared, but thankfully, no one was seriously injured.The disaster meant their tournament plans were ruined, causing significant disappointment and worry about safety.Tom thought to himself, ""How big is this problem?"""
34,69.48,8.64,22.8,8.23,1.94,disaster,disaster,ski,"Jake, a 16-year-old, was skiing with his family when an avalanche suddenly hit the slopes.They were quickly caught in the snow, and Jake couldn't see his parents.There was no immediate help on the way, and visibility was poor due to the storm.Without immediate rescue, their safety was uncertain, and Jake felt a deep sense of panic.As he tried to stay calm, he thought, ""How big is this problem?"""
35,59.22,5.41,21.08,7.61,2.02,disaster,disaster,ski,"Lucas, a 12-year-old, is skiing with his family in the breathtaking snowy mountains.Without warning, a sudden blizzard descends, separating Lucas from his parents.He tries to call for help, but his phone has no signal in the storm.Fear takes over as he realizes the serious risk of being alone in severe weather.Lucas asks himself, 'How big is this problem?'"
36,71.87,10.65,29.56,8.03,1.88,disaster,disaster,soccer,"Jamie, a 15-year-old, was excited to play in the soccer championship game.As the game started, dark clouds suddenly gathered and the wind picked up.Midway through the match, a lightning bolt struck, causing a fire to break out near the field.The match was stopped, and everyone had to evacuate, leaving Jamie worried and shaken.Jamie asked, ""How big is this problem?"""
37,60.49,5.35,18.27,8.22,2.02,disaster,bummer,soccer,"Nick was playing in a soccer match when a teammate suddenly collapsed on the field.The coach quickly called for an ambulance as everyone gathered around.The ambulance took a while to arrive, and Nick felt scared because they didn’t know what was wrong with his friend.There was no quick fix or backup plan for this serious situation, and everyone felt helpless.Nick asked himself, ""How big is this problem?"""
38,60.95,4.45,18.89,8.35,2.25,disaster,bummer,class,"Ellie, a 17-year-old, was in class when she heard a loud crash from outside.The principal announced that powerful winds had knocked a tree onto her parents' car in the school parking lot.Thankfully, no one was hurt, but the family now had a significant financial burden to replace the car.Without a quick fix or easy backup plan, this would take a long time and support from others to resolve.Ellie thought to herself, ""How big is this problem?"""
39,67.03,6.7,21.93,8.34,2.24,disaster,bummer,curling,"Emily, a 16-year-old competitive curler, arrives at the curling rink for a major regional tournament.Suddenly, a severe snowstorm hits, causing chaos and making the arena unsafe.The event is canceled, which means Emily's team loses their chance to compete, and they face major financial losses from sponsorships.Without a quick fix, this situation deeply affects her team's morale and future plans.Emily wonders, ""How big is this problem?"""
40,61.79,4.9,18.7,8.07,2.22,disaster,disaster,playing video game,"Alex was playing his favorite video game when suddenly the power went out, leaving him stuck in the dark.His house was in the middle of a massive storm, and the whole neighborhood lost electricity.The storm was so intense that it caused a tree to fall, damaging the power lines severely.With no quick fix in sight, Alex's family faced the possibility of being without power for days.As darkness encompassed his room, Alex wondered aloud, 'How big is this problem?'"
41,61.75,4.02,19.27,9.02,1.88,disaster,disaster,dancing,"Mae was excited for her big dance recital at the community theater.Just before her performance, she got a call that their house had caught fire.Her parents assured Mae that everyone was safe, but their home was badly damaged.The family faced the loss of their home and many belongings, which would take a long time to rebuild.Mae wondered, ""How big is this problem?"""
42,61.15,5.98,22.34,8.35,2.48,disaster,disaster,vacation,"Anna was on a family vacation at the beach when a huge storm hit, causing flooding and major damage to the area.Their hotel was severely affected, and they were evacuated to a nearby shelter along with many other families.Anna's family learned that getting back home might be delayed due to the storm damage.The storm also caused a power outage, and Anna worried about being safe and warm.She asked herself, 'How big is this problem?'"
43,62.39,4.11,20.73,8.67,2.04,disaster,disaster,class,"In Jackson's classroom, a fire alarm suddenly goes off, and smoke starts filling the room.The teacher quickly instructs everyone to leave, but Jackson notices his friend, Emily, is missing.The smoke is getting thicker, making it hard to see and breathe.Jackson feels scared and helpless, knowing the fire could harm his friend.He asks himself, ""How big is this problem?"""
44,65.12,4.37,22.48,8.45,2.02,disaster,disaster,class,"In the middle of class, Lily hears a loud siren outside the window and sees smoke rising from the school gym.The teacher quickly gathers the students and they evacuate the building in a hurry.Firefighters are already on the scene, working tirelessly to control the flames.Lily feels scared and wonders about the safety of her friends and if the school will be okay.She whispers to herself, ""How big is this problem?"""
45,67.03,5.3,22.8,8.52,2.12,disaster,disaster,dancing,"In a small dance studio, 16-year-old Mia twirls gracefully, preparing for her big performance.Suddenly, the studio lights flicker, and her heart sinks as a fire alarm blares through the building.Smoke fills the air, and she hears people shouting to evacuate the building quickly.Mia realizes her important dance costume and gear are still inside and might be lost.As she leaves the building, Mia asks herself, ""How big is this problem?"""
46,66.71,4.01,23.67,8.28,2.31,disaster,disaster,art,"Sophie, a 12-year-old girl, paints a colorful mural on the side of an art studio.Just after finishing, a severe storm hits the area, causing significant damage to the building and her artwork.The art studio is left with broken windows and a damaged roof, making it unsafe to enter.Sophie worries about the financial impact on the studio and her lost art, realizing there's no quick fix for the situation.She asks herself, 'How big is this problem?'"
47,68.5,4.78,22.55,8.74,1.95,disaster,disaster,class,"In a small town, 17-year-old Mia was at school when she received a call from her dad.The family home had been caught in a sudden fire, and everything was lost.There was no quick fix, and they didn't have insurance to cover the loss.Mia and her family had to find temporary housing and rely on community support.Mia thought to herself, ""How big is this problem?"""
48,65.99,5.82,20.56,9.5,2.38,disaster,bummer,game,"Jack was playing his favorite racing video game when suddenly the power went out during a storm.He realized it wasn’t just his house; the whole neighborhood was plunged into darkness due to a power outage.The storm had caused damage to the power lines, and it might take days to restore electricity.With no electricity, they couldn’t run the home appliances or charge any devices, impacting daily life significantly.Jack asked himself, 'How big is this problem?' as his family prepared for a challenging few days ahead."
49,67.49,5.62,22.99,9.3,2.1,disaster,disaster,birthday party,"It was Lucas's birthday party, and he was filled with joy, surrounded by his friends and family.Suddenly, the candles on his birthday cake set off a small fire, quickly spreading to the curtains.Lucas watched in horror as the fire alarm blared, and everyone scrambled to safety.The fire department arrived, but the damage to the house was extensive.Lucas asked himself, ""How big is this problem?"""
50,62.85,4.38,21.19,8.3,2.03,disaster,disaster,after school club,"Alex had just finished his after-school club when news broke that a tornado was heading towards town.The teachers quickly gathered everyone inside the building, but panic was setting in.For Alex, the thought of losing his home or loved ones was terrifying.There was no quick fix; they had to wait for the storm to pass safely.Alex thought to himself, 'How big is this problem?'"
51,63.97,7.81,19.56,8.58,2.07,disaster,disaster,ski,"Lucas was skiing down a steep slope when a sudden avalanche started up the mountain, heading his way.He skidded to a stop, heart pounding, realizing there was no quick escape path.Lucas knew the ski patrol was nearby, but he was unsure if they could reach him in time.No backup plan seemed sufficient against the powerful force of nature descending toward him.As the rumble grew louder, he asked himself, 'How big is this problem?'"
52,77.8,9.26,29.78,7.93,2.09,disaster,disaster,swimming,"A 10-year-old boy named Alex was excited for his swimming lessons at the community pool.As he entered the pool area, the alarms suddenly blared, and the staff announced a heavy storm warning.The storm developed quickly, causing a power outage and the facility to evacuate.Alex, scared and worried, thought about the possibility of floods damaging his home.He sat with his parents, asking himself, ""How big is this problem?"""
53,64.72,8.46,20.38,8.56,1.92,disaster,disaster,ski,"Tina gazed out over the snowy mountains, her ski trip off to a thrilling start.Suddenly, an avalanche roared from the peak, heading toward the ski resort.People were running for safety, panic spreading throughout the area.Tina felt her heart race, unsure if help would arrive in time.She asked herself, ""How big is this problem?"""
54,68.64,9.25,21.06,9.1,2.29,disaster,disaster,vacation,"Sam, a 12-year-old boy, was on vacation with his family in a coastal town when suddenly a large earthquake struck.The earthquake triggered a tsunami warning, and the family was urged to evacuate immediately.Their only escape route was blocked by debris from a landslide, leaving them trapped with limited communication.The family had no access to food or water at the moment, and panic started to set in.Sam thought to himself, ""How big is this problem?"""
55,78.32,9.86,21.75,11.72,2.18,disaster,disaster,running,"Jasmine loved running and was training for a race at her school when a strong earthquake struck her town.The shaking was intense, causing her to lose her balance and fall while outside on her practice run.In the aftermath, the power lines were down, and Jasmine's house had a huge crack running through it.Her family was safe but worried about the damage and how they would rebuild their home.Jasmine sat on the doorstep, asking herself, ""How big is this problem?"""
56,72.9,7.01,20.91,10.26,2.2,disaster,disaster,birthday party,"Emma was excited for her 10th birthday party, ready to welcome her friends to her backyard.Just before the party, a neighbor's candle fell and started a small fire on their wooden porch next door.The fire quickly spread to Emma’s home, causing panic among the family and guests.They managed to call the fire department, but significant damage was already done.Emma stood with her parents, watching the firemen work hard, wondering, 'How big is this problem?'"
57,61.69,5.15,22.67,9.16,1.77,disaster,bummer,game,"Emma was playing her favorite video game when a sudden storm hit her neighborhood.The power went out, leaving the house in complete darkness.Emma's phone was dead, and she couldn't reach her family who were outside.The storm knocked down a tree, blocking the main road to their house.Emma sat in the dark, wondering, 'How big is this problem?'"
58,66.26,5.51,19.57,9.07,2.34,disaster,bummer,birthday party,"Emma walked into the kitchen to find smoke billowing from the oven, the birthday cake she was baking for her little brother's party completely ruined.Frantically, she remembered that the smoke alarm started blaring, causing panic in the house.The entire family rushed to open windows and doors to clear the air, their plans for the party now uncertain.The guests would arrive soon, and there was no backup cake or time to make another.Emma asked herself, ""How big is this problem?"""
59,66.28,8.17,18.98,8.19,1.73,disaster,disaster,singing,"Maria stood on stage, her voice trembling with nerves.Suddenly, thick smoke began to fill the room from a backstage fire.Parents and teachers rushed to evacuate the theater, everyone in a panic.Maria coughed and stumbled, fear gripping her heart as alarms blared.“How big is this problem?” Maria thought to herself."
60,73.83,6.6,23.3,9.17,2.52,disaster,bummer,curling,"Emma, a 16-year-old curling enthusiast, was at her local curling rink when a severe storm hit the area unexpectedly.Lightning struck, causing a fire to break out in part of the building, interrupting her practice session.The fire alarm blared, and everyone rushed out quickly, but Emma realized her equipment was still inside.Firefighters arrived promptly, but the extent of the damage was unclear, and her equipment seemed lost.Standing outside in the rain, Emma thought, ""How big is this problem?"""
61,68.11,8.85,19.54,8.45,2.41,disaster,disaster,birthday party,"Paige was excited for her cousin's birthday party at home when a strong storm hit and knocked down a tree onto their house.The damage was severe, creating a big hole in the roof, leaving the family exposed to the elements.Everyone was safe, but they had to evacuate immediately and find temporary shelter.With no quick fix available, their house needed extensive repairs, and it would take weeks to make it livable again.Paige asked herself, ""How big is this problem?"""
62,64.29,8.13,21.07,8.55,2.35,disaster,disaster,basketball,"One sunny afternoon, 14-year-old Alex was playing basketball with friends at the local park.Unexpectedly, a nearby electrical transformer exploded, causing a fire that quickly spread to the surrounding area.Everyone ran to safety, but the flames and smoke threatened to engulf the basketball court and nearby benches.Emergency services arrived, but the fire was intense and hard to contain quickly.Alex watched in fear and thought, ""How big is this problem?"""
63,65.55,5.16,21.63,11.26,1.97,disaster,disaster,vacation,"During their vacation at a beach resort, Sophie, age 9, learns that a hurricane is approaching their area.Their family is advised to evacuate immediately, leaving behind their belongings.Sophie feels scared as they drive away, seeing strong winds and rain start to hit the area.The road is crowded with others evacuating, causing stress and chaos.Sophie wonders, ""How big is this problem?"""
64,66.14,5.66,20.61,10.22,2.16,disaster,disaster,art,"Emma was excited for the big art show at school, where her painting was to be displayed.Just before the show started, a fire broke out in the art room, putting everyone in danger and destroying the artwork.The fire alarm blared as students and teachers hurried to safety, leaving behind the paintings and sculptures.Although the fire was controlled, Emma's painting and many others were lost in the flames.Standing outside, Emma worried, 'How big is this problem?'"
65,66.01,3.75,23.22,8.95,2.07,disaster,disaster,volleyball,"Emma, a 12-year-old girl, was thrilled for her volleyball practice at school.During practice, an unexpected storm hit, causing severe flooding in the area.The floodwaters quickly rose, trapping Emma and her teammates inside the gym.The school called emergency services, but it was unclear how long it would take for help to arrive.Emma wondered to herself, ""How big is this problem?"""
66,61.83,5.49,21.68,8.85,2.12,disaster,disaster,ski,"Lucas, a 16-year-old boy, was skiing with his friends when an unexpected snowstorm hit the slopes.Visibility dropped to nearly zero, and Lucas became separated from his group.Cold and disoriented, he realized his cellphone battery had died, leaving him unable to call for help.Without any clear landmarks and with night approaching, he knew he faced real danger.Lucas asked himself, 'How big is this problem?'"
67,67.89,5.78,23.02,8.19,2.1,disaster,disaster,singing,"Maria was practicing her song for the school talent show when she suddenly noticed smoke creeping into her bedroom.Her parents rushed in and shouted that there was a fire in the kitchen, spreading quickly through the house.The family had no choice but to evacuate immediately, leaving behind all their belongings.Standing outside, Maria began to panic about losing her home and everything in it.She asked herself, ""How big is this problem?"""
68,61.89,7.11,19.6,8.51,2.33,disaster,disaster,ski,"Lily was excited to spend the day skiing with her family at the snowy resort.Halfway through the day, a blizzard hit unexpectedly, creating whiteout conditions on the slopes.Lily and her brother, Jack, got separated from their parents due to the heavy snowfall and lost visibility.With no clear way back and temperatures dropping rapidly, Lily wondered about the safety of her family.Feeling cold and scared, Lily asked herself, ""How big is this problem?"""
69,60.86,7.07,21.23,8.77,2.27,disaster,disaster,tryout,"In a small town, Liam was excited about the soccer tryouts happening at his school.Just as the tryouts started, a loud wail of sirens echoed, and everyone was asked to leave the field immediately.A sudden fire had erupted nearby, quickly spreading and causing everyone to evacuate to safety.Liam looked around, worried about the safety of his friends and family as the smoke rose higher.He asked himself, 'How big is this problem?'"
70,59.68,6.73,20.78,8.24,1.91,disaster,disaster,ski,"Alex was enjoying a ski trip with his family when a sudden avalanche hit.The snow roared down the slope, sweeping away everything in its path.Alex's family was separated, and he found himself alone, unsure of what to do.There were rescue teams arriving, but the path to safety seemed blocked by the heavy snow.Alex asked himself: 'How big is this problem?'"
71,64.48,5.62,20.56,8.21,2.26,disaster,disaster,birthday party,"Jenny was so excited about her birthday party, which was being held at her house with all her friends invited.Suddenly, a strong storm hit the area, causing flooding and damage to homes, including Jenny's.The power went out, and everyone had to evacuate for their safety, leaving the party behind.Jenny was worried about her family and friends, and unsure about what would happen next.She asked herself, 'How big is this problem?'"
72,65.34,6.58,19.58,8.37,1.93,disaster,bummer,field trip,"Sophia and her classmates were on a field trip to the mountains when a sudden storm hit.The wind howled, and their bus got stuck on a muddy road leading up the hillside.Their teacher tried calling for help, but there was no cell service in the area.The rain showed no sign of stopping, and they began to worry about being stranded overnight.Sophia asked herself, 'How big is this problem?'"
73,73.99,8.74,22.69,8.3,2.2,disaster,disaster,field trip,"Emily, a twelve-year-old, was on a field trip with her class when a sudden storm hit, causing a flash flood.The water quickly rose, trapping the school bus, and everyone was evacuated to the roof for safety.Some of Emily's classmates were crying, and the teachers were trying to keep everyone calm while waiting for rescue.There was no quick fix as the flooding continued to rise, making it impossible to simply drive to safety.Emily thought to herself, ""How big is this problem?"""
74,69.36,10.72,22.93,8.99,2.52,disaster,disaster,basketball,"Jake, a 16-year-old basketball player, is playing in the school's gym when a fire alarm suddenly goes off, signaling a real fire.Smoke quickly fills the air, and the gym must be evacuated immediately for everyone's safety.The school principal announces that the fire has caused significant damage to the gym, and it will be closed indefinitely.Without an immediate solution, the basketball team's season is at risk, and Jake is unsure when they will practice again.With uncertainty surrounding the gym's repair, Jake wonders, ""How big is this problem?"""
75,67.18,9.65,23.02,8.19,2.3,disaster,disaster,art,"In a small art studio, Alex gazes at the flickering shadows from a fire that started in the neighboring room.The flames quickly spread, threatening to consume the precious paintings and supplies.Smoke fills the air, making it hard to breathe, and Alex rushes to find a safe way out.Realizing the potential loss of work and safety threat, Alex feels overwhelmed by the severity of the situation.In panic, Alex asks themselves, ""How big is this problem?"""
76,77.93,7.6,25.52,8.32,2.12,disaster,disaster,tennis,"Anna, a 16-year-old tennis player, was excited for the big tournament tomorrow.That night, a storm swept through her town, causing a massive flood.The entire indoor tennis facility was severely damaged, and the tournament was canceled.Anna’s family also suffered a major financial loss as their home was flooded.Sitting in a temporary shelter, Anna wondered, ""How big is this problem?"""
77,63.75,6.91,19.27,9.12,2.32,disaster,disaster,running,"Emma, a 17-year-old runner, was training for her marathon in the park when she suddenly heard screams nearby.She spotted thick smoke rising from the nearby residential area and realized a fire had broken out.Emma ran towards the area and saw firefighters struggling to control the blaze that threatened to spread.The families who lived there were evacuated, but their homes and belongings were being destroyed.Looking at the unfolding disaster, Emma thought to herself, 'How big is this problem?'"
78,67.21,6.65,25.05,8.52,2.47,disaster,disaster,after school club,"Sixteen-year-old Mia was excited for her after school art club, where she was about to showcase her final project.Suddenly, the building's fire alarm blared, and smoke started filling the hallway, sending everyone into a panic.An announcement over the intercom declared a real fire, and emergency services were on their way.Mia watched as flames engulfed parts of the art room, realizing her project and many others were lost.She sat on the grass outside, trembling, and thought to herself, 'How big is this problem?'"
