scenario,Image_Tool,Total_Time,Time_Script,Time_Image,Time_Voice,Time_Video,Problem Size,Predicted Problem Size,setting,Script,Image Path
27,GPTimage,68.17,8.25,22.92,8.78,1.89,glitch,glitch,lacrosse,"Mia realized she forgot her lucky headband at home before her lacrosse game.She felt a bit nervous without it, but knew she could still play without any problems.Her best friend offered to lend her a spare headband from her bag.Mia smiled, putting on the headband and feeling ready for the game.She asked herself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_27_GPTimage.png
28,DallE3,52.06,5.41,13.66,4.06,7.57,glitch,glitch,after school club,"Alex stayed after school to participate in the art club and realized he left his favorite sketchbook at home.He remembered that he had a backup sketchbook in his backpack.While it's not the same, he could still draw with it just fine.The art club meeting would be over in an hour, so it was a minor inconvenience.Alex thought to himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_28_DallE3.png
28,GPTimage,59.18,5.41,21.36,8.16,1.92,glitch,glitch,after school club,"Alex stayed after school to participate in the art club and realized he left his favorite sketchbook at home.He remembered that he had a backup sketchbook in his backpack.While it's not the same, he could still draw with it just fine.The art club meeting would be over in an hour, so it was a minor inconvenience.Alex thought to himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_28_GPTimage.png
29,DallE3,60.19,7.06,19.44,4.31,7.35,glitch,glitch,volleyball,"In a busy school gym, 12-year-old Emma is getting ready for her volleyball match.Suddenly, Emma realizes she left her lucky volleyball socks at home.Her friend offers her an extra pair, which fit well enough.Emma feels relieved and knows she can still play just fine.""How big is this problem?"" she wonders with a grin.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_29_DallE3.png
29,GPTimage,67.35,7.06,22.03,8.60,1.77,glitch,glitch,volleyball,"In a busy school gym, 12-year-old Emma is getting ready for her volleyball match.Suddenly, Emma realizes she left her lucky volleyball socks at home.Her friend offers her an extra pair, which fit well enough.Emma feels relieved and knows she can still play just fine.""How big is this problem?"" she wonders with a grin.",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_29_GPTimage.png
30,DallE3,58.71,5.24,20.46,4.53,7.36,glitch,glitch,running,"Jessie, a 10-year-old boy, is lacing up his running shoes for his school's field day race at the local park.As he starts warming up, he realizes his shoe feels a bit loose because the lace is slightly frayed.Jessie quickly finds a friend with an extra pair of laces he can borrow, so he swaps them without missing a beat.The situation is easily fixed, and Jessie feels ready to run again.Jessie thinks to himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_30_DallE3.png
30,GPTimage,67.06,5.24,21.11,9.72,2.16,glitch,glitch,running,"Jessie, a 10-year-old boy, is lacing up his running shoes for his school's field day race at the local park.As he starts warming up, he realizes his shoe feels a bit loose because the lace is slightly frayed.Jessie quickly finds a friend with an extra pair of laces he can borrow, so he swaps them without missing a beat.The situation is easily fixed, and Jessie feels ready to run again.Jessie thinks to himself, ""How big is this problem?""",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_30_GPTimage.png
31,DallE3,65.41,7.82,23.92,4.15,7.57,glitch,glitch,birthday party,"Lucy, a 7-year-old girl, is getting ready for her birthday party at the local park.She realizes she forgot to bring her favorite balloons, but she has other decorations.Lucy feels a bit sad but knows the party can still go on with what she has.The impact is small, lasting only a moment before the fun begins.Lucy wonders, 'How big is this problem?'",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_31_DallE3.png
31,GPTimage,72.92,7.82,21.95,8.64,2.00,glitch,glitch,birthday party,"Lucy, a 7-year-old girl, is getting ready for her birthday party at the local park.She realizes she forgot to bring her favorite balloons, but she has other decorations.Lucy feels a bit sad but knows the party can still go on with what she has.The impact is small, lasting only a moment before the fun begins.Lucy wonders, 'How big is this problem?'",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_31_GPTimage.png
32,DallE3,57.25,7.09,17.89,4.52,7.75,glitch,glitch,volleyball,"Emma was getting ready for her school volleyball practice when she realized she left her favorite knee pads at home.Luckily, her friend offered an extra pair of knee pads so she could still join in.Emma put on the borrowed knee pads and felt relieved, knowing she could play comfortably.She thought to herself, ‘It’s just a small hiccup, nothing major.’In her mind, she wondered, “How big is this problem?”",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_32_DallE3.png
32,GPTimage,64.58,7.09,19.99,8.81,1.95,glitch,bummer,volleyball,"Emma was getting ready for her school volleyball practice when she realized she left her favorite knee pads at home.Luckily, her friend offered an extra pair of knee pads so she could still join in.Emma put on the borrowed knee pads and felt relieved, knowing she could play comfortably.She thought to herself, ‘It’s just a small hiccup, nothing major.’In her mind, she wondered, “How big is this problem?”",/Users/Kelly/Documents/PassionProject/GlitchFolder/scenario_glitch_32_GPTimage.png
